"","lat"
"467",45.9574
"468",33.6671
"469",36.9625
"470",42.4802
"471",43.2107
"472",56.5417
"473",45.4392
"474",45.4651
"475",45.439163
"476",47.60343
"477",45.4667
"478",45.866667
"479",45.95288
"480",45.21667
"481",45.95164
"482",45.465144
"483",45.9167
"484",45.2167
"485",48.566667
"486",46.3972
"487",47.1818
"488",47.5258
"489",46.397209
"490",47.525844
"491",47.181815
"492",45.15
"493",38.5926
"494",32.1656
"495",34.6481
"496",40.0672
"497",38.5834
"498",45.7873
"499",48.3481
"500",45.0195
"501",45.3933
"502",51.4832
"503",45.787345
"504",48.348097
"505",45.019533
"506",45.2202
"507",45.790602
"508",51.4594
"509",50.18597
"510",50.2
"511",50.55
"512",50.1833
"513",45.2333
"514",45.3
"515",48.3667
"516",50.8333
"517",45.2667
"518",50.2833
"519",50.2167
"520",45.882194
"521",32.3063
"522",41.064
"523",45.9636
"524",38.5719
"525",45.5359
"526",29.9012
"527",45.89
"528",45.8992
"529",45.889997
"530",45.53595
"531",46.2667
"532",45.899196
"533",47.589466
"534",45.6071
"535",38.6549
"536",38.6176
"537",38.0153
"538",38.5759
"539",38.5776
"540",38.3698
"541",38.5348
"542",38.5036
"543",48.5244
"544",45.5279
"545",48.806
"546",45.5733
"547",49.0075
"548",46.0924
"549",51.2328
"550",45.9587
"551",46.747
"552",45.516667
"553",48.524444
"554",45.527869
"555",45.958702
"556",48.805959
"557",46.092449
"558",45.573279
"559",51.232769
"560",49.007526
"561",46.1167
"562",48.251
"563",45.53783
"564",45.9833
"565",47.05
"566",44.5468
"567",52.8613
"568",48.0763
"569",49.1246
"570",45.9718
"571",48.8532
"572",49.124578
"573",48.07634
"574",45.971767
"575",46.119269
"576",46.121681
"577",45.2168
"578",45.16004
"579",48.8
"580",48.85
"581",46.90447
"582",52.73333
"583",48.85321
"584",46.0833
"585",52.1332
"586",52.1334
"587",58.7684
"588",25.8129
"589",40.1826
"590",25.0865
"591",53.8255
"592",42.6668
"593",38.9717
"594",46.1061
"595",46.1341
"596",46.3906
"597",41.8459
"598",46.0059
"599",46.2281
"600",46.7382
"601",46.005908
"602",46.39059
"603",46.134124
"604",46.228109
"605",46.738227
"606",46.812371
"607",48.794
"608",48.91667
"609",49.2235
"610",48.5246
"611",45.6824
"612",48.789
"613",46
"614",46.2333
"615",48.78333
"616",48.916667
"617",48.35
