"","lon"
"967",-64.6553
"968",-74.5944
"969",-77.0344
"970",-69.2475
"971",-71.6152
"972",-69.247501
"973",-71.615226
"974",-74.594424
"975",-77.034393
"976",-68.418839
"977",-66.783333
"978",-73.93421
"979",-69.08297
"980",-66.783
"981",-68.419
"982",-66.78333
"983",-68.357428
"984",-68.4
"985",-66.8
"986",-70.0333
"987",-112.69
"988",-66.1134
"989",-83.1699
"990",-73.9433
"991",-70.6277
"992",-73.943329
"993",-78.746005
"994",-77.14719
"995",-72.5333
"996",-73.92509
"997",-78.1188
"998",-70.627741
"999",-112.8418
"1000",-69.8778
"1001",-72.0958
"1002",-71.7902
"1003",-69.877795
"1004",-71.790155
"1005",-72.095768
"1006",-69.07
"1007",-74.032646
"1008",-65.892919
"1009",-71.076904
"1010",-69.088
"1011",-74.73333
"1012",-69.0833
"1013",-76
"1014",-113.9167
"1015",-62.5354
"1016",-72.148
"1017",-72.147989
"1018",-72.77
"1019",-72.762614
"1020",-72.768
"1021",-72.1333
"1022",-73.94195
"1023",-72.7316
"1024",-72.7678
"1025",-72.7667
"1026",-122.2869
"1027",-74.5069
"1028",-74.2457
"1029",-73.9388
"1030",-74.506946
"1031",-74.245745
"1032",-73.349987
"1033",-73.938831
"1034",-73.938822
"1035",-73.95
"1036",-73.95036
"1037",-73.7833
"1038",-76.01667
"1039",-73.776339
"1040",-73.6223
"1041",-74.2196
"1042",-71.6174
"1043",-72.5228
"1044",-73.3427
"1045",-71.0731
"1046",-70.403
"1047",-71.2273
"1048",-71.529
"1049",-71.3747
"1050",-73.9301
"1051",-71.2112
"1052",-73.0865
"1053",-73.54
"1054",-73.62234
"1055",-73.086466
"1056",-71.617432
"1057",-71.073071
"1058",-71.528961
"1059",-74.219633
"1060",-73.930094
"1061",-71.374708
"1062",-71.211206
"1063",-72.522767
"1064",-70.403041
"1065",-71.94238
"1066",-73.929526
"1067",-73.950883
"1068",-71.227261
"1069",-63.5478
"1070",-102.0454
"1071",-94.5
"1072",-74.5851
"1073",-70.1993
"1074",-70.3155
"1075",-71.2313
"1076",-72.6367
"1077",-74.0239
"1078",-72.2699
"1079",-72.5158
"1080",-72.5711
"1081",-65.95
"1082",-72.2725
"1083",-70.19934
"1084",-72.50686
"1085",-72.515842
"1086",-74.023898
"1087",-70.315522
"1088",-72.571128
"1089",-72.636714
"1090",-75.551619
"1091",-74.585113
"1092",-72.269925
"1093",-71.231304
"1094",-72.27251
"1095",-68.19
"1096",-72.2288
"1097",-75.70407
"1098",-75.369513
"1099",-72.206274
"1100",-68.189608
"1101",-65.9493
"1102",-64.696
"1103",-71.73301
"1104",-76.0055
"1105",-75.71667
"1106",-70.0209
"1107",-64.738129
"1108",-76.054573
"1109",-64.75
"1110",-71.6167
"1111",-64.9
"1112",-66.7333
"1113",-68.1833
"1114",-66.4833
"1115",-65.75
"1116",-65.0167
"1117",-94.9091
"1118",-73.4929
"1119",-115.0813
"1120",-111.9524
"1121",-115.1222
"1122",-63.538
"1123",-80.6479
"1124",-70.2403
"1125",-73.5681
"1126",-73.7541
"1127",-71.2802
"1128",-70.8628
"1129",-70.9038
"1130",-72.7754
"1131",-70.8252
"1132",-72.2045
"1133",-72.0102
"1134",-70.86279
"1135",-70.694253
"1136",-72.775418
"1137",-72.01023
"1138",-70.903816
"1139",-73.568146
"1140",-70.825246
"1141",-72.204526
"1142",-75.708
"1143",-96.2932
"1144",-80.0728
"1145",-80.4603
"1146",-96.4537
"1147",-76.7337
"1148",-79.5856
"1149",-137
"1150",-71.4095
"1151",-70.5893
"1152",-71.4702
"1153",-79.2029
"1154",-71.2266
"1155",-70.8127
"1156",-71.409516
"1157",-70.812717
"1158",-79.202857
"1159",-74.214
"1160",-74.16
"1161",-72.22
"1162",-72.2042
"1163",-73.68839
