"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","itis_code"
"3564","Hesperia miriamae","Hesperia miriamae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia miriamae",NA
"3565","Ochlodes yuma","Ochlodes yuma","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes yuma",NA
"3566","Parnassius phoebus","Parnassius phoebus","species","Petit apollon","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Parnassius","Parnassius phoebus",NA
"3567","Erynnis meridianus","Erynnis meridianus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis meridianus",NA
"3568","Pyrgus xanthus","Pyrgus xanthus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus ruralis",NA
"3569","Euchloe naina","Euchloe naina","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Euchloe","Euchloe naina",NA
"3570","Parrhasius m-album","Parrhasius m-album","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Parrhasius","Parrhasius m-album",NA
"3571","Speyeria callippe","Speyeria callippe","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria callippe",NA
"3572","Hesperia nevada","Hesperia nevada","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia nevada",NA
"3573","Euchloe ausonides","Euchloe ausonides","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Euchloe","Euchloe ausonides",NA
"3574","Lycaena heteronea","Lycaena heteronea","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena heteronea",NA
"3575","Euphilotes battoides","Euphilotes battoides","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Euphilotes","Euphilotes battoides",NA
"3576","Pieris marginalis","Pieris marginalis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pieris","Pieris marginalis",NA
"3577","Plebejus lupini","Plebejus lupini","species","Aricia lupini","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus lupini",NA
"3578","Speyeria zerene","Speyeria zerene","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria zerene",NA
"3579","Colias alexandra","Colias alexandra","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colias","Colias alexandra",NA
"3580","Lycaena mariposa","Lycaena mariposa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Lycaena","Lycaena mariposa",NA
"3581","Speyeria hydaspe","Speyeria hydaspe","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria hydaspe",NA
"3582","Euphydryas anicia","Euphydryas anicia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Occidryas","Euphydryas anicia",NA
"3583","Euphydryas editha","Euphydryas editha","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euphydryas","Occidryas editha",NA
"3584","Erynnis persius","Erynnis persius","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","Erynnis persius",NA
"3585","Polites draco","Polites draco","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Polites","Polites sabuleti",NA
"3586","Anthocharis stella","Anthocharis stella","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis","Anthocharis stella",NA
"3587","Parnassius smintheus","Parnassius smintheus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Parnassius","Parnassius smintheus",NA
"3588","Pontia beckerii","Pontia beckerii","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Pontia","Pontia beckerii",NA
"3589","Pyrgus ruralis","Pyrgus ruralis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus ruralis",NA
"3590","Papilio eurymedon","Papilio eurymedon","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio eurymedon",NA
