"","lat","lon"
"2108",45.428731,-75.713366
"2115",45.365293,-73.257694
"2158",45.4333,-75.7333
"2159",46.967,-78.216
"2160",45.365,-71.858
"2176",45.2,-72.35
"2179",45.3084,-73.2529
"2186",45.241774,-72.545964
"2189",45.195708,-72.363775
"2203",41.8137,-71.3701
"2227",40.4406,-79.9959
"2241",45.569,-71.7928
"2244",45.8836,-74.3549
"2265",45.569049,-71.792751
"2281",45.4,-75.8333
"2285",45.8833,-74.35
"2288",45.5333,-71.8
"2296",45.883611,-74.354912
"2306",41.824,-71.4128
"2308",29.2108,-81.0228
"2309",41.5236,-90.5776
"2316",41.9722,-71.4062
"2319",44.9916,-79.942
"2321",41.5191,-72.8286
"2361",46.8,-71.1833
"2362",45.25,-72.55
"2369",48.7217,-94.5695
"2372",50.1427,-101.0346
"2373",53.2033,-105.7531
"2386",48.345,-89.3583
"2420",48.15,-69.7167
"2424",38.0707,-78.8751
"2425",38.1496,-79.0717
"2427",45.3736,-121.696
"2431",41.7545,-90.3369
"2433",35.7686,-106.6923
"2436",45.5087,-73.554
"2446",45.8654,-73.2413
"2476",45.50867,-73.553992
"2497",48.477,-64.301
"2502",45.45,-73.5667
"2510",51.3167,-58.05
"2512",48.5,-64.1667
"2514",51.5,-57.5833
"2518",27.7676,-82.6403
"2519",45.0769,-64.4945
"2551",45.5553,-73.1899
"2570",45.4387,-73.7425
"2600",45.555293,-73.189867
"2612",45.438659,-73.742528
"2645",48.2928,-68.8675
"2655",45.45,-73.8
"2671",30.4213,-87.2169
"2672",43.4001,-80.6499
"2673",68.8115,-114.8237
"2676",45.3658,-63.2869
"2679",48.4572,-123.5509
"2681",45.0077,-71.009
"2694",27.4989,-82.5748
"2695",46.0446,-74.0348
"2730",46.747041,-71.459344
"2744",46.044603,-74.034756
"2745",45.842,-76.738
"2763",45.56667,-75.95
"2769",45.85,-76.7333
"2776",48.7787,-123.7079
"2780",42.5013,-103.7289
"2793",50.6863,-121.9368
"2796",49.3244,-67.5999
"2798",47.6304,-70.6482
"2802",27.5875,-82.4251
"2819",46.2699,-74.9332
"2823",49.324423,-67.599931
"2827",47.630422,-70.648207
"2833",46.269881,-74.933151
"2842",49.31667,-67.6
"2843",49.3243,-67.4489
"2862",47.4833,-70.4833
"2867",49.3227,-67.4413
"2884",49.6073,-114.4355
"2885",35.1322,-118.449
"2886",37.305,-93.4285
"2899",50.8188,-119.6845
"2903",45.5143,-73.609
"2909",48.146,-69.7128
"2931",46.3714,-71.6118
"2941",45.5071,-73.5874
"2947",45.3945,-75.844
"2951",45.507102,-73.587407
"2957",48.145978,-69.71284
"2958",46.371437,-71.611758
"2974",45.394509,-75.84396
"2986",45.490642,-75.841197
"3012",45.514286,-73.609011
"3018",45.3833,-75.8333
"3052",47.4741,-115.9279
"3057",49.4991,-119.5937
"3067",45.082,-73.3729
"3077",45.5296,-73.7138
"3080",45.2944,-72.2702
"3122",45.081979,-73.372864
"3144",45.294355,-72.270228
"3176",45.529638,-73.713766
"3189",45.4,-75.8667
"3195",48.594,-85.2748
"3198",49.3572,-120.0765
"3228",45.9238,-74.4673
"3251",45.9013,-74.4661
"3254",45.3018,-72.2789
"3263",45.1859,-71.9367
"3336",45.9013,-74.466114
"3345",45.923754,-74.467349
"3381",45.301781,-72.278871
"3422",45.185861,-71.936715
"3441",45.1833,-71.9333
"3505",45.8657,-74.0721
"3506",45.1437,-74.5027
"3509",26.9342,-80.0942
"3512",30.3924,-81.43
"3514",39.6548,-77.5728
"3515",43.3821,-95.1588
"3516",45.3658,-75.887
"3520",53.5444,-113.4909
"3555",48.6667,-71.5167
"3585",48.6741,-71.5244
"3592",48.666667,-71.516667
"3626",46.1214,-74.59442
"3632",45.05,-73.5833
"3634",51.5788,-119.7179
"3638",46.014,-73.4178
"3653",46.014012,-73.417796
"3665",45.51667,-75.86667
"3670",46.05,-73.7167
"3677",45.535,-75.8892
"3684",45.5833,-75.8667
"3686",55.458,-60.2115
"3687",41.4173,-70.4531
"3691",48.5289,-68.3466
"3701",46.0447,-73.7106
"3702",45.5166,-73.65
"3707",46.044738,-73.710612
"3717",48.528875,-68.346627
"3718",45.45,-73.2833
"3724",54.7833,-66.7833
"3726",45.4167,-73.9167
"3728",45.0167,-73.8
"3740",45.9595,-70.6563
"3799",45.9422,-73.9698
"3806",47.0162,-70.9465
"3820",45.942248,-73.969815
"3861",45.08333,-73.36667
"3927",47.328622,-70.040478
"3928",45.6333,-75.9333
"3930",66.5,-70.8333
"4055",45.9489,-73.9787
"4114",45.948855,-73.978743
"4151",45.86667,-74.08333
"4259",45.05,-73.6
"4297",33.6577,-93.5003
"4299",38.4825,-100.9071
"4300",43.9939,-103.7718
"4305",45.9574,-66.9692
"4312",33.6671,-93.5916
"4314",36.9625,-90.983
"4320",42.4802,-71.1
"4321",43.2107,-81.9769
"4322",56.5417,-61.6969
"4335",45.4392,-73.2902
"4354",45.4651,-74.0799
"4457",45.439163,-73.290246
"4537",47.60343,-72.35267
"4538",45.95,-76.0167
"4623",45.4667,-74.0833
"4631",45.866667,-74.083333
"4632",45.95288,-76.02292
"4635",45.21667,-72.51667
"4636",45.95,-76.06667
"4638",45.95164,-76.02127
"4658",45.465144,-74.079868
"4665",45.9167,-76.0833
"4684",45.0167,-73.75
"4698",45.5167,-76.4167
"4705",45.2167,-72.5167
"4707",45.4333,-75.75
"4713",46.05,-73.716667
"4716",48.566667,-78.116667
"4737",46.3972,-75.0244
"4748",47.1818,-70.2171
"4750",47.5258,-69.8046
"4757",46.397209,-75.024377
"4764",47.525844,-69.804579
"4785",47.181815,-70.217071
"4795",45.15,-72.3667
"4828",38.5926,-90.3573
"4829",32.1656,-82.9001
"4839",34.6481,-97.9581
"4846",40.0672,-94.9177
"4872",38.5834,-90.4068
"4882",45.7873,-74.6836
"4884",48.3481,-68.803
"4894",45.0195,-73.7571
"4897",45.3933,-73.9551
"4933",51.4832,-57.2415
"4947",45.787345,-74.683552
"4951",48.348097,-68.802989
"4971",45.019533,-73.757078
"4990",45.2202,-72.326498
"4992",45.790602,-74.683238
"5006",45.8,-74.6833
"5023",51.4594,-57.2444
"5037",50.18597,-61.73564
"5051",50.2,-61.8167
"5057",50.55,-59.3333
"5058",50.1833,-60.0833
"5076",45.2333,-72.3667
"5077",45.3,-72.5667
"5080",48.3667,-70.4
"5084",45.2833,-72.5
"5091",50.8333,-58.95
"5094",45.2667,-71.9667
"5109",50.2833,-64.7667
"5111",50.2167,-63.8167
"5116",45.882194,-74.355907
"5130",32.3063,-87.7981
"5150",41.064,-80.0564
"5153",45.9636,-66.6431
"5154",38.5719,-90.46
"5158",45.5359,-73.807
"5160",29.9012,-81.3124
"5170",45.89,-74.9166
"5215",45.8992,-74.9418
"5219",45.889997,-74.916613
"5274",45.53595,-73.806965
"5275",46.2667,-74.7333
"5288",45.9,-74.9333
"5314",45.5333,-73.8167
"5344",45.899196,-74.941847
"5388",47.589466,-69.731719
"5394",45.6071,-74.6042
"5395",38.6549,-90.2472
"5396",38.6176,-90.3493
"5399",38.0153,-90.756
"5403",38.5759,-90.472
"5405",38.5776,-90.6678
"5407",38.3698,-90.3785
"5412",38.5348,-90.5121
"5413",38.5036,-90.6763
"5415",48.5244,-64.2127
"5417",45.5279,-74.207
"5430",48.806,-71.9481
"5439",45.5733,-73.648
"5462",49.0075,-72.1761
"5477",46.0924,-74.4733
"5481",51.2328,-58.6515
"5484",45.9587,-73.2197
"5518",46.747,-71.4593
"5547",45.516667,-74.333333
"5548",46.8,-71.25
"5549",48.524444,-64.21268
"5550",45.527869,-74.206994
"5556",45.958702,-73.21967
"5567",48.805959,-71.94809
"5569",46.092449,-74.473325
"5612",45.573279,-73.648039
"5636",51.232769,-58.651544
"5644",49.007526,-72.176134
"5664",46.1167,-74.4833
"5677",45.9667,-73.2167
"5691",48.251,-65.8912
"5693",45.53783,-75.89508
"5725",45.85,-76.4333
"5726",45.9833,-73.3
"5729",47.05,-79.2667
"5731",45.9667,-73.9167
"5743",44.5468,-78.5577
"5773",52.8613,-102.39
"5790",48.0763,-69.8105
"5805",49.1246,-66.4893
"5822",45.9718,-73.8967
"5825",48.8532,-66.0385
"5860",49.124578,-66.489286
"5877",48.07634,-69.810459
"5913",45.971767,-73.8967
"5936",46.119269,-74.595268
"5938",46.121681,-74.594543
"5942",45.2168,-72.5177
"5947",45.16004,-72.36789
"5955",48.8,-66.05
"5957",48.85,-66.7833
"5971",45.95,-73.85
"6017",46.90447,-71.63421
"6022",52.73333,-67.35
"6041",48.85321,-66.038524
"6057",46.0833,-76.0833
"6066",45.45,-75.8
"6077",52.1332,-106.67
"6078",52.1334,-106.6832
"6080",58.7684,-94.165
"6082",25.8129,-81.362
"6083",40.1826,-80.133
"6085",25.0865,-80.4473
"6086",53.8255,-101.2476
"6087",42.6668,-71.7051
"6088",38.9717,-95.2352
"6163",46.1061,-74.032
"6168",46.1341,-74.0058
"6171",46.3906,-75.0296
"6184",41.8459,-71.0828
"6200",46.0059,-74.1871
"6236",46.2281,-73.0165
"6263",46.7382,-71.2465
"6313",46.005908,-74.187112
"6330",46.39059,-75.029563
"6358",46.134124,-74.005791
"6381",46.228109,-73.016475
"6406",46.738227,-71.246459
"6422",46.812371,-71.180354
"6453",48.794,-66.076
"6454",48.91667,-66.2
"6455",49.2235,-65.1306
"6456",48.5246,-64.2142
"6459",45.6824,-75.9305
"6462",48.789,-66.091
"6477",46,-74.1833
"6491",46.2333,-73.0167
"6547",48.78333,-66.08333
"6548",48.916667,-66.2
"6551",48.35,-70.883333
"6599",46.106058,-74.032012
"6604",48.25,-65.9
"6606",48.9167,-66.1833
"6607",48.9333,-66.1667
"6616",48.8,-66.0667
"6630",48.9,-66.2
"6642",48.7833,-66.0833
"6651",48.9167,-76.2
"6672",48.95,-66.1167
"6675",48.1833,-65.9
"6694",48.7833,-66.1
"6720",48.78062,-66.07853
"6724",48.4671,-120.6434
"6726",53.9232,-106.0818
"6727",50.7746,-99.4937
"6729",41.6005,-93.6091
"6730",39.9766,-111.6149
"6821",43.9652,-64.7425
"6826",45.0475,-73.5845
"6893",46.766,-71.3554
"6894",45.5436,-73.4715
"6895",46.8616,-71.1887
"6896",47.0882,-72.6643
"6897",47.4424,-70.5041
"6899",45.2291,-74.1151
"6900",46.8618,-72.3955
"6920",45.3821,-74.1842
"6978",47.088245,-72.664302
"6993",45.403229,-72.734066
"6994",46.765975,-71.355392
"7041",46.861847,-72.395491
"7074",47.442406,-70.504084
"7085",48.2,-65.9
"7086",46.224592,-74.626964
"7087",53.8348,-78.9577
"7088",51.6195,-79.3694
"7106",45.8667,-74.2
"7141",45.840537,-72.258872
"7142",45.881422,-72.281188
"7143",48.832148,-64.487371
"7184",45.047497,-73.584455
"7195",46.2167,-74.6167
"7217",45.5167,-75.8167
"7218",45.45,-73.6333
"7219",48.9167,-66.2
"7222",46.2167,-74.6
"7238",52.4652,-113.9322
"7245",50.5319,-99.4686
"7251",50.1458,-95.6594
"7252",50.061,-82.1664
"7331",45.8508,-74.1323
"7355",46.1944,-74.6362
"7367",45.8941,-74.1579
"7395",46.9295,-70.9312
"7411",45.3602,-73.7494
"7429",45.40875,-73.94272
"7443",45.85076,-74.132342
"7479",45.894072,-74.157934
"7494",46.194377,-74.63617
"7497",46.929532,-70.931194
"7499",46.110809,-76.099297
"7522",45.360159,-73.749403
"7566",45.85,-74.1333
"7567",45.646026,-76.076958
"7568",45.96667,-73.21667
"7570",45.951844,-76.021486
"7571",45.6047,-76.0479
"7572",45.6386,-76.07
"7574",45.644,-76.0748
"7579",45.55,-76.1667
"7644",45.642778,-76.072778
"7704",45.5167,-76.2333
"7713",45.6833,-75.9167
"7734",48.95,-66.15
"7736",45.6,-75.6167
"7738",45.95,-75.9167
"7740",42.681,-80.3322
"7741",41.893,-70.9108
"7742",44.2287,-64.4361
"7745",62.8451,-69.8898
"7747",35.812,-105.6597
"7748",47.4544,-69.1539
"7749",46.0722,-73.8917
"7800",48.3756,-68.6952
"7803",45.9518,-73.8486
"7859",46.783,-71.2861
"7867",45.0867,-74.1747
"7912",48.6896,-71.9739
"7913",46.8997,-71.2865
"7914",47.5644,-70.2107
"7917",47.5654,-70.2051
"7921",45.623,-73.6516
"7923",46.0835,-73.1848
"7924",45.9843,-73.4465
"7938",46.5588,-73.8148
"7942",45.4954,-74.0284
"7956",46.139722,-75.727778
"7960",45.495401,-74.028414
"7976",48.375643,-68.695243
"7979",47.454375,-69.153943
"7983",45.951803,-73.848597
"8000",45.08672,-74.174698
"8001",46.899729,-71.286475
"8006",46.083474,-73.184759
"8045",45.622968,-73.651612
"8060",48.689632,-71.973939
"8061",46.072217,-73.891667
"8065",46.558758,-73.814791
"8083",47.565378,-70.205118
"8101",46.782996,-71.28607
"8106",47.564442,-70.210691
"8117",45.984348,-73.446481
"8133",47.05,-79.26
"8135",45.22,-72.5121
"8138",48.833333,-64.483333
"8140",45.217,-72.516
"8144",48.3667,-68.7
"8147",45.0833,-74.1667
"8243",49.017603,-66.475938
"8294",45.2167,-72.7167
"8299",45.15,-72.6
"8304",45.2,-72.5667
"8332",45.3167,-72.1667
"8333",45.0333,-72.55
"8336",45.5833,-75.4167
"8346",46.0999,-60.7547
"8348",50.9146,-114.1015
"8349",43.5448,-80.2482
