"","lat"
"1316",45.4347
"1321",50.2277
"1327",47.333333
"1329",45.538502
"1333",48.36743
"1338",40.8814
"1339",43.9695
"1341",38.627
"1350",39.1031
"1363",45.3058
"1366",45.9931
"1367",45.1941
"1374",45.305771
"1377",45.194051
"1379",45.993107
"1394",52.9399
"1396",55.4018
"1400",42.4959
"1401",42.3626
"1404",42.3601
"1428",45.6417
"1453",45.641666
"1454",46.9167
"1477",45.4558
"1478",42.5922
"1483",42.4408
"1495",38.5661
"1506",41.7898
"1515",38.9072
"1522",41.8205
"1531",40.9584
"1554",40.7934
"1556",35.4719
"1561",45.4585
"1564",45.2745
"1577",45.274509
"1582",45.2833
"1587",45.458544
"1594",34.5199
"1595",41.7947
"1596",51.1784
"1598",49.459
"1599",40.2338
"1603",35.5145
"1606",64.0167
"1607",46.2295
"1621",39.9526
"1625",48.3045
"1636",48.2941
"1637",45.4426
"1641",45.492
"1642",46.0486
"1662",45.4525
"1669",45.8755
"1674",46.048563
"1675",45.452484
"1678",45.442607
"1688",48.294074
"1692",45.492034
"1701",45.875457
"1703",45.55
"1709",45.8667
"1714",46.3833
"1742",39.9541
"1745",42.9849
"1762",49.8848
"1765",42.7351
"1768",49.8634
"1778",48.1807
"1781",48.4282
"1800",45.3653
"1808",45.4287
"1829",45.1957
"1830",45.2418
"1838",45.428731
"1845",45.365293
"1881",46.967
"1882",45.365
"1899",45.3084
"1905",45.241774
"1908",45.195708
"1920",41.8137
"1942",40.4406
"1955",45.569
"1957",45.8836
"1977",45.569049
"1991",45.4
"2005",45.883611
"2016",41.824
"2018",29.2108
"2019",41.5236
"2025",41.9722
"2028",44.9916
"2030",41.5191
"2070",46.8
"2077",48.7217
"2080",50.1427
"2081",53.2033
"2092",48.345
"2122",48.15
"2126",38.0707
"2127",38.1496
"2129",45.3736
"2133",41.7545
"2135",35.7686
"2138",45.5087
"2147",45.8654
"2173",45.50867
"2190",48.477
"2201",51.3167
"2203",48.5
"2205",51.5
"2211",27.7676
"2212",45.0769
"2243",45.5553
"2259",45.4387
"2282",45.555293
"2292",45.438659
"2322",48.2928
"2346",30.4213
"2347",43.4001
"2348",68.8115
"2351",45.3658
"2354",48.4572
"2356",45.0077
"2367",27.4989
"2368",46.0446
"2398",46.747041
"2409",46.044603
"2410",45.842
"2427",45.56667
"2433",45.85
"2440",48.7787
"2444",42.5013
"2457",50.6863
"2459",49.3244
"2460",47.6304
"2463",27.5875
"2477",46.2699
"2481",49.324423
"2484",47.630422
"2490",46.269881
"2497",49.31667
"2498",49.3243
"2524",47.4833
"2530",49.3227
"2542",49.6073
"2543",35.1322
"2544",37.305
"2557",50.8188
"2561",45.5143
"2567",48.146
"2588",46.3714
"2596",45.5071
"2601",45.3945
"2605",45.507102
"2611",48.145978
"2612",46.371437
"2625",45.394509
"2639",45.490642
"2662",45.514286
"2703",47.4741
"2708",49.4991
"2717",45.082
"2725",45.5296
"2728",45.2944
"2764",45.081979
"2783",45.294355
"2810",45.529638
"2827",48.594
"2830",49.3572
"2854",45.9238
"2873",45.9013
"2876",45.3018
"2883",45.1859
"2949",45.923754
"2977",45.301781
"3010",45.185861
"3027",45.1833
"3079",45.8657
"3080",45.1437
"3083",26.9342
"3086",30.3924
"3088",39.6548
"3089",43.3821
"3093",53.5444
"3147",48.6741
"3153",48.666667
"3183",46.1214
"3190",51.5788
"3194",46.014
