"","lon"
"4009",-74.083333
"4010",-76.02292
"4013",-72.51667
"4014",-76.06667
"4017",-76.02127
"4033",-74.079868
"4039",-76.0833
"4064",-76.4167
"4071",-72.5167
"4072",-75.75
"4082",-73.716667
"4085",-78.116667
"4103",-75.0244
"4111",-70.2171
"4113",-69.8046
"4120",-75.024377
"4126",-69.804579
"4143",-70.217071
"4153",-72.3667
"4180",-90.3573
"4181",-82.9001
"4191",-97.9581
"4198",-94.9177
"4223",-90.4068
"4233",-74.6836
"4234",-68.803
"4242",-73.7571
"4244",-73.9551
"4275",-57.2415
"4287",-74.683552
"4291",-68.802989
"4308",-73.757078
"4328",-72.326498
"4330",-74.683238
"4343",-74.6833
"4360",-57.2444
"4374",-61.73564
"4386",-61.8167
"4392",-59.3333
"4393",-60.0833
"4412",-72.5667
"4415",-70.4
"4418",-72.5
"4423",-58.95
"4442",-64.7667
"4444",-63.8167
"4453",-74.355907
"4468",-87.7981
"4486",-80.0564
"4489",-66.6431
"4490",-90.46
"4493",-73.807
"4495",-81.3124
"4505",-74.9166
"4545",-74.9418
"4549",-74.916613
"4598",-73.806965
"4645",-73.8167
"4674",-74.941847
"4714",-69.731719
"4721",-74.6042
"4722",-90.2472
"4723",-90.3493
"4725",-90.756
"4729",-90.472
"4731",-90.6678
"4733",-90.3785
"4737",-90.5121
"4738",-90.6763
"4740",-64.2127
"4742",-74.207
"4754",-71.9481
"4761",-73.648
"4780",-72.1761
"4793",-74.4733
"4797",-58.6515
"4800",-73.2197
"4833",-71.4593
"4860",-74.333333
"4862",-64.21268
"4863",-74.206994
"4868",-73.21967
"4878",-71.94809
"4880",-74.473325
"4919",-73.648039
"4939",-58.651544
"4947",-72.176134
"4969",-74.4833
"4982",-73.2167
"4997",-65.8912
"4999",-75.89508
"5030",-76.4333
"5031",-73.3
"5033",-79.2667
"5047",-78.5577
"5075",-102.39
"5089",-69.8105
"5103",-66.4893
"5118",-73.8967
"5120",-66.0385
"5152",-66.489286
"5168",-69.810459
"5224",-74.595268
"5227",-74.594543
"5231",-72.5177
"5237",-72.36789
"5248",-66.05
"5312",-71.63421
"5318",-67.35
"5342",-66.038524
"5372",-75.8
"5383",-106.67
"5384",-106.6832
"5385",-94.165
"5387",-81.362
"5388",-80.133
"5390",-80.4473
"5391",-101.2476
"5392",-71.7051
"5393",-95.2352
"5454",-74.032
"5459",-74.0058
"5461",-75.0296
"5471",-71.0828
"5485",-74.1871
"5516",-73.0165
"5538",-71.2465
"5579",-74.187112
"5594",-75.029563
"5619",-74.005791
"5638",-73.016475
"5657",-71.246459
"5673",-71.180354
"5699",-66.076
"5700",-66.2
"5701",-65.1306
"5703",-64.2142
"5706",-75.9305
"5709",-66.091
"5724",-74.1833
"5737",-73.0167
"5789",-66.08333
"5795",-70.883333
"5839",-74.032012
"5844",-65.9
"5846",-66.1833
"5848",-66.1667
"5856",-66.0667
"5880",-66.0833
"5899",-76.2
"5922",-66.1167
"5964",-66.1
"6006",-66.07853
"6010",-120.6434
"6012",-106.0818
"6013",-99.4937
"6015",-93.6091
"6016",-111.6149
"6098",-64.7425
"6102",-73.5845
"6153",-71.3554
"6154",-73.4715
"6155",-71.1887
"6156",-72.6643
"6157",-70.5041
"6159",-74.1151
"6160",-72.3955
"6174",-74.1842
"6227",-72.664302
"6241",-72.734066
"6242",-71.355392
"6279",-72.395491
"6308",-70.504084
"6319",-74.626964
"6320",-78.9577
"6321",-79.3694
"6338",-74.2
"6368",-72.258872
"6369",-72.281188
"6372",-64.487371
"6406",-73.584455
"6425",-74.6167
"6447",-75.8167
"6448",-73.6333
"6452",-74.6
