"","lat","lon"
"3238",45.5833,-75.8667
"3240",55.458,-60.2115
"3241",41.4173,-70.4531
"3245",48.5289,-68.3466
"3253",46.0447,-73.7106
"3254",45.5166,-73.65
"3258",46.044738,-73.710612
"3266",48.528875,-68.346627
"3267",45.45,-73.2833
"3274",54.7833,-66.7833
"3276",45.4167,-73.9167
"3280",45.0167,-73.8
"3290",45.9595,-70.6563
"3330",45.9422,-73.9698
"3336",47.0162,-70.9465
"3351",45.942248,-73.969815
"3384",45.08333,-73.36667
"3436",47.328622,-70.040478
"3437",45.6333,-75.9333
"3439",66.5,-70.8333
"3530",45.9489,-73.9787
"3578",45.948855,-73.978743
"3607",45.86667,-74.08333
"3696",45.05,-73.6
"3736",33.6577,-93.5003
"3738",38.4825,-100.9071
"3739",43.9939,-103.7718
"3744",45.9574,-66.9692
"3751",33.6671,-93.5916
"3753",36.9625,-90.983
"3758",42.4802,-71.1
"3759",43.2107,-81.9769
"3760",56.5417,-61.6969
"3771",45.4392,-73.2902
"3785",45.4651,-74.0799
"3864",45.439163,-73.290246
"3930",47.60343,-72.35267
"3931",45.95,-76.0167
"4002",45.4667,-74.0833
"4009",45.866667,-74.083333
"4010",45.95288,-76.02292
"4013",45.21667,-72.51667
"4014",45.95,-76.06667
"4017",45.95164,-76.02127
"4033",45.465144,-74.079868
"4039",45.9167,-76.0833
"4055",45.0167,-73.75
"4064",45.5167,-76.4167
"4071",45.2167,-72.5167
"4072",45.4333,-75.75
"4082",46.05,-73.716667
"4085",48.566667,-78.116667
"4103",46.3972,-75.0244
"4111",47.1818,-70.2171
"4113",47.5258,-69.8046
"4120",46.397209,-75.024377
"4126",47.525844,-69.804579
"4143",47.181815,-70.217071
"4153",45.15,-72.3667
"4180",38.5926,-90.3573
"4181",32.1656,-82.9001
"4191",34.6481,-97.9581
"4198",40.0672,-94.9177
"4223",38.5834,-90.4068
"4233",45.7873,-74.6836
"4234",48.3481,-68.803
"4242",45.0195,-73.7571
"4244",45.3933,-73.9551
"4275",51.4832,-57.2415
"4287",45.787345,-74.683552
"4291",48.348097,-68.802989
"4308",45.019533,-73.757078
"4328",45.2202,-72.326498
"4330",45.790602,-74.683238
"4343",45.8,-74.6833
"4360",51.4594,-57.2444
"4374",50.18597,-61.73564
"4386",50.2,-61.8167
"4392",50.55,-59.3333
"4393",50.1833,-60.0833
"4411",45.2333,-72.3667
"4412",45.3,-72.5667
"4415",48.3667,-70.4
"4418",45.2833,-72.5
"4423",50.8333,-58.95
"4426",45.2667,-71.9667
"4442",50.2833,-64.7667
"4444",50.2167,-63.8167
"4453",45.882194,-74.355907
"4468",32.3063,-87.7981
"4486",41.064,-80.0564
"4489",45.9636,-66.6431
"4490",38.5719,-90.46
"4493",45.5359,-73.807
"4495",29.9012,-81.3124
"4505",45.89,-74.9166
"4545",45.8992,-74.9418
"4549",45.889997,-74.916613
"4598",45.53595,-73.806965
"4599",46.2667,-74.7333
"4619",45.9,-74.9333
"4645",45.5333,-73.8167
"4674",45.899196,-74.941847
"4714",47.589466,-69.731719
"4721",45.6071,-74.6042
"4722",38.6549,-90.2472
"4723",38.6176,-90.3493
"4725",38.0153,-90.756
"4729",38.5759,-90.472
"4731",38.5776,-90.6678
"4733",38.3698,-90.3785
"4737",38.5348,-90.5121
"4738",38.5036,-90.6763
"4740",48.5244,-64.2127
"4742",45.5279,-74.207
"4754",48.806,-71.9481
"4761",45.5733,-73.648
"4780",49.0075,-72.1761
"4793",46.0924,-74.4733
"4797",51.2328,-58.6515
"4800",45.9587,-73.2197
"4833",46.747,-71.4593
"4860",45.516667,-74.333333
"4861",46.8,-71.25
"4862",48.524444,-64.21268
"4863",45.527869,-74.206994
"4868",45.958702,-73.21967
"4878",48.805959,-71.94809
"4880",46.092449,-74.473325
"4919",45.573279,-73.648039
"4939",51.232769,-58.651544
"4947",49.007526,-72.176134
"4969",46.1167,-74.4833
"4982",45.9667,-73.2167
"4997",48.251,-65.8912
"4999",45.53783,-75.89508
"5030",45.85,-76.4333
"5031",45.9833,-73.3
"5033",47.05,-79.2667
"5036",45.9667,-73.9167
"5047",44.5468,-78.5577
"5075",52.8613,-102.39
"5089",48.0763,-69.8105
"5103",49.1246,-66.4893
"5118",45.9718,-73.8967
"5120",48.8532,-66.0385
"5152",49.124578,-66.489286
"5168",48.07634,-69.810459
"5201",45.971767,-73.8967
"5224",46.119269,-74.595268
"5227",46.121681,-74.594543
"5231",45.2168,-72.5177
"5237",45.16004,-72.36789
"5248",48.8,-66.05
"5250",48.85,-66.7833
"5266",45.95,-73.85
"5312",46.90447,-71.63421
"5318",52.73333,-67.35
"5342",48.85321,-66.038524
"5364",46.0833,-76.0833
"5372",45.45,-75.8
"5383",52.1332,-106.67
"5384",52.1334,-106.6832
"5385",58.7684,-94.165
"5387",25.8129,-81.362
"5388",40.1826,-80.133
"5390",25.0865,-80.4473
"5391",53.8255,-101.2476
"5392",42.6668,-71.7051
"5393",38.9717,-95.2352
"5454",46.1061,-74.032
"5459",46.1341,-74.0058
"5461",46.3906,-75.0296
"5471",41.8459,-71.0828
"5485",46.0059,-74.1871
"5516",46.2281,-73.0165
"5538",46.7382,-71.2465
"5579",46.005908,-74.187112
"5594",46.39059,-75.029563
"5619",46.134124,-74.005791
