"","annee","nombre_especes","latitude","longitude"
"2766",2020,1,45.460517,-71.751463
"2767",2020,1,45.460899,-73.44326
"2768",2020,1,45.460929,-73.633047
"2769",2020,1,45.461009,-75.781838
"2770",2020,1,45.461014,-75.781627
"2771",2020,1,45.461243,-74.226923
"2772",2020,1,45.461635,-73.490803
"2773",2020,1,45.462008,-73.80783
"2774",2020,1,45.462147,-73.921037
"2775",2020,1,45.462202,-73.841334
"2776",2020,1,45.462929,-74.286945
"2777",2020,1,45.462947,-71.885856
"2778",2020,1,45.462971,-74.059147
"2779",2020,7,45.46302,-74.271424
"2780",2020,1,45.463173,-73.633919
"2781",2020,1,45.463517,-74.262463
"2782",2020,1,45.46358,-74.319305
"2783",2020,1,45.463604,-73.664908
"2784",2020,1,45.463649,-73.808332
"2785",2020,20,45.463652,-74.27106
"2786",2020,1,45.46429,-75.720584
"2787",2020,1,45.464442,-75.764798
"2788",2020,1,45.464506,-74.266149
"2789",2020,1,45.464568,-75.765109
"2790",2020,1,45.464684,-73.551544
"2791",2020,1,45.464901,-73.56443
"2792",2020,1,45.46511,-73.925381
"2793",2020,1,45.465234,-74.261438
"2794",2020,1,45.465249,-74.261143
"2795",2020,1,45.465253,-75.835067
"2796",2020,1,45.465432,-73.785582
"2797",2020,1,45.465812,-74.262554
"2798",2020,1,45.465944,-74.166549
"2799",2020,1,45.466083,-74.166438
"2800",2020,1,45.466245,-75.793005
"2801",2020,1,45.466301,-74.061045
"2802",2020,1,45.466389,-73.839381
"2803",2020,1,45.466397,-73.641647
"2804",2020,16,45.466523,-74.326111
"2805",2020,1,45.466758,-75.904008
"2806",2020,2,45.466858,-74.270362
"2807",2020,1,45.467019,-75.803831
"2808",2020,1,45.467061,-75.903022
"2809",2020,1,45.467093,-73.291389
"2810",2020,1,45.467139,-74.056393
"2811",2020,1,45.467156,-73.291342
"2812",2020,1,45.467637,-73.848367
"2813",2020,1,45.467727,-74.265444
"2814",2020,1,45.467732,-73.923748
"2815",2020,1,45.467879,-73.559812
"2816",2020,1,45.468208,-73.407829
"2817",2020,1,45.468283,-73.616983
"2818",2020,1,45.468538,-73.843222
"2819",2020,1,45.468603,-73.870717
"2820",2020,1,45.468759,-73.870823
"2821",2020,1,45.468924,-73.529045
"2822",2020,1,45.469013,-75.805772
"2823",2020,1,45.469508,-71.158354
"2824",2020,1,45.469822,-74.25679
"2825",2020,1,45.47022,-74.197913
"2826",2020,1,45.470458,-73.371555
"2827",2020,1,45.470473,-73.586336
"2828",2020,1,45.470809,-73.764118
"2829",2020,1,45.471153,-73.767162
"2830",2020,1,45.471183,-75.939554
"2831",2020,1,45.471442,-73.767092
"2832",2020,1,45.471641,-73.723062
"2833",2020,1,45.471685,-73.767561
"2834",2020,1,45.471697,-73.604736
"2835",2020,1,45.471765,-73.772589
"2836",2020,1,45.47185,-73.767503
"2837",2020,7,45.471876,-74.311052
"2838",2020,1,45.471953,-75.793359
"2839",2020,1,45.471966,-73.583941
"2840",2020,1,45.472109,-73.712422
"2841",2020,1,45.472143,-73.758202
"2842",2020,1,45.472186,-73.613478
"2843",2020,1,45.472229,-73.613415
"2844",2020,1,45.472596,-73.448058
"2845",2020,1,45.472651,-75.759725
"2846",2020,1,45.47277,-74.125267
"2847",2020,1,45.47293,-73.635658
"2848",2020,3,45.472971,-73.605224
"2849",2020,1,45.472988,-73.635453
"2850",2020,1,45.473255,-73.841653
"2851",2020,1,45.473524,-73.866128
"2852",2020,1,45.473572,-73.76435
"2853",2020,1,45.473672,-74.125992
"2854",2020,1,45.473794,-73.758526
"2855",2020,1,45.474153,-73.75955
"2856",2020,1,45.474167,-73.759583
"2857",2020,1,45.474414,-73.763991
"2858",2020,1,45.474584,-73.747844
"2859",2020,1,45.474605,-73.636733
"2860",2020,1,45.474628,-73.599103
"2861",2020,1,45.474656,-73.757471
"2862",2020,2,45.47466,-73.75746
"2863",2020,1,45.474719,-73.760522
"2864",2020,1,45.474722,-73.594167
"2865",2020,2,45.474747,-73.760607
"2866",2020,4,45.474755,-73.760605
"2867",2020,1,45.474758,-73.760614
"2868",2020,1,45.474776,-73.599199
"2869",2020,1,45.474833,-73.760772
"2870",2020,1,45.474834,-73.760772
"2871",2020,1,45.474895,-73.672126
"2872",2020,1,45.475,-73.597778
"2873",2020,1,45.475172,-73.596946
"2874",2020,1,45.475278,-73.596667
"2875",2020,1,45.475372,-73.45028
"2876",2020,1,45.475388,-73.761605
"2877",2020,1,45.475405,-73.562347
"2878",2020,1,45.475487,-71.773658
"2879",2020,1,45.475528,-71.773558
"2880",2020,1,45.475547,-71.77378
"2881",2020,1,45.475556,-73.596667
"2882",2020,1,45.475558,-71.773767
"2883",2020,1,45.475567,-71.77368
"2884",2020,2,45.47557,-71.773605
"2885",2020,1,45.475617,-71.773833
"2886",2020,1,45.47562,-71.773675
"2887",2020,1,45.475628,-71.77385
"2888",2020,1,45.475637,-71.773737
"2889",2020,1,45.47565,-71.77375
"2890",2020,1,45.475675,-71.773833
"2891",2020,1,45.475678,-71.773767
"2892",2020,1,45.47568,-71.773872
"2893",2020,1,45.475692,-71.773803
"2894",2020,1,45.475712,-71.773658
"2895",2020,1,45.475724,-73.596762
"2896",2020,1,45.475792,-71.772942
"2897",2020,1,45.4758,-73.762438
